fund_slug,description
timechain,Investment activities in United Kingdom (GB). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: timechain.
timechain,Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: timechain.
timechain,Investment activities in Israel (IL). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: timechain.
entree-cap,Investment activities in Israel (IL). Normal investments: 1. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: entree-cap.
entree-cap,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: entree-cap.
geekcartel,"Investment activities in United States (US). Normal investments: 4. Lead investments: 1. Main sectors: Blockchain Infrastructure (60.0%), Blockchain Service (40.0%). Associated fund: geekcartel."
geekcartel,"Investment activities in Singapore (SG). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), NFT (50.0%). Associated fund: geekcartel."
geekcartel,Investment activities in China (CN). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: geekcartel.
interchain-foundation,"Investment activities in United States (US). Normal investments: 4. Lead investments: 0. Main sectors: Social (25.0%), Blockchain Infrastructure (25.0%), DeFi (25.0%). Associated fund: interchain-foundation."
interchain-foundation,Investment activities in Liechtenstein (LI). Normal investments: 0. Lead investments: 1. Main sectors: Chain (100.0%). Associated fund: interchain-foundation.
binary-builders,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: binary-builders.
heartcore-capital,Investment activities in France (FR). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: heartcore-capital.
heartcore-capital,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: heartcore-capital.
heartcore-capital,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: heartcore-capital.
outliers-fund,"Investment activities in United States (US). Normal investments: 5. Lead investments: 0. Main sectors: DeFi (60.0%), Blockchain Service (20.0%), NFT (20.0%). Associated fund: outliers-fund."
bullish,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Social (50.0%), Blockchain Infrastructure (50.0%). Associated fund: bullish."
bullish,Investment activities in Cayman Islands (KY). Normal investments: 0. Lead investments: 1. Main sectors: DeFi (100.0%). Associated fund: bullish.
nonagon,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: nonagon.
hyperithm,"Investment activities in United States (US). Normal investments: 4. Lead investments: 0. Main sectors: Social (25.0%), Blockchain Infrastructure (25.0%), DeFi (25.0%). Associated fund: hyperithm."
hyperithm,"Investment activities in Singapore (SG). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (33.33%), GameFi (33.33%), Chain (33.33%). Associated fund: hyperithm."
hyperithm,Investment activities in Tanzania (TZ). Normal investments: 2. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: hyperithm.
hyperithm,Investment activities in Estonia (EE). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: hyperithm.
hyperithm,Investment activities in Portugal (PT). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: hyperithm.
hyperithm,Investment activities in India (IN). Normal investments: 1. Lead investments: 0. Main sectors: Chain (100.0%). Associated fund: hyperithm.
hyperithm,Investment activities in Japan (JP). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: hyperithm.
lif,"Investment activities in Hong Kong (HK). Normal investments: 2. Lead investments: 0. Main sectors: NFT (50.0%), CeFi (50.0%). Associated fund: lif."
lif,Investment activities in United States (US). Normal investments: 1. Lead investments: 1. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: lif.
lif,Investment activities in China (CN). Normal investments: 0. Lead investments: 1. Main sectors: GameFi (100.0%). Associated fund: lif.
smo-capital,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: GameFi (50.0%), Blockchain Infrastructure (50.0%). Associated fund: smo-capital."
smo-capital,Investment activities in France (FR). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: smo-capital.
smo-capital,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: smo-capital.
smo-capital,Investment activities in UAE (AE). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: smo-capital.
deep-ventures,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: deep-ventures.
deep-ventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: deep-ventures.
harlemcapital,"Investment activities in United States (US). Normal investments: 1. Lead investments: 4. Main sectors: Blockchain Service (60.0%), NFT (20.0%), CeFi (20.0%). Associated fund: harlemcapital."
silvermine,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: silvermine.
coinvestor,Investment activities in Sweden (SE). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: coinvestor.
a100x,Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: a100x.
a100x,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: a100x.
danxia-capital,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: danxia-capital.
danxia-capital,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: danxia-capital.
lunar-labs-capital,Investment activities in Sweden (SE). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: lunar-labs-capital.
stellation-capital,Investment activities in United States (US). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: stellation-capital.
psalion-vc,"Investment activities in United States (US). Normal investments: 5. Lead investments: 0. Main sectors: DeFi (40.0%), NFT (40.0%), Blockchain Service (20.0%). Associated fund: psalion-vc."
psalion-vc,"Investment activities in United Kingdom (GB). Normal investments: 2. Lead investments: 1. Main sectors: Blockchain Service (33.33%), DeFi (33.33%), CeFi (33.33%). Associated fund: psalion-vc."
psalion-vc,Investment activities in Tanzania (TZ). Normal investments: 2. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: psalion-vc.
psalion-vc,Investment activities in Israel (IL). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: psalion-vc.
fulgur-ventures,"Investment activities in United States (US). Normal investments: 9. Lead investments: 0. Main sectors: Blockchain Service (55.56%), GameFi (22.22%), Blockchain Infrastructure (11.11%). Associated fund: fulgur-ventures."
fulgur-ventures,"Investment activities in Canada (CA). Normal investments: 2. Lead investments: 2. Main sectors: Blockchain Infrastructure (50.0%), Blockchain Service (25.0%), CeFi (25.0%). Associated fund: fulgur-ventures."
fulgur-ventures,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: fulgur-ventures.
fulgur-ventures,Investment activities in Guatemala (GT). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: fulgur-ventures.
fulgur-ventures,Investment activities in India (IN). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: fulgur-ventures.
fulgur-ventures,Investment activities in Bermuda (BM). Normal investments: 0. Lead investments: 1. Main sectors: Social (100.0%). Associated fund: fulgur-ventures.
fulgur-ventures,Investment activities in Luxembourg (LU). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: fulgur-ventures.
fulgur-ventures,Investment activities in Sweden (SE). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: fulgur-ventures.
fulgur-ventures,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: fulgur-ventures.
fulgur-ventures,Investment activities in Israel (IL). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: fulgur-ventures.
fulgur-ventures,Investment activities in France (FR). Normal investments: 1. Lead investments: 0. Associated fund: fulgur-ventures.
fulgur-ventures,Investment activities in Germany (DE). Normal investments: 1. Lead investments: 0. Associated fund: fulgur-ventures.
everstake,"Investment activities in Switzerland (CH). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), Blockchain Infrastructure (50.0%). Associated fund: everstake."
everstake,Investment activities in British Virgin Islands (VG). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: everstake.
motier-ventures,"Investment activities in France (FR). Normal investments: 5. Lead investments: 0. Main sectors: Blockchain Service (60.0%), NFT (20.0%), CeFi (20.0%). Associated fund: motier-ventures."
motier-ventures,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: motier-ventures.
sc-ventures,Investment activities in Hong Kong (HK). Normal investments: 0. Lead investments: 1. Main sectors: Chain (100.0%). Associated fund: sc-ventures.
sc-ventures,Investment activities in Italy (IT). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: sc-ventures.
sc-ventures,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: sc-ventures.
sc-ventures,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: sc-ventures.
motive-partners,Investment activities in Belgium (BE). Normal investments: 0. Lead investments: 1. Main sectors: DeFi (100.0%). Associated fund: motive-partners.
motive-partners,Investment activities in France (FR). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: motive-partners.
chainalysis,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: chainalysis.
candaq,"Investment activities in China (CN). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (33.33%), Blockchain Infrastructure (33.33%), DeFi (33.33%). Associated fund: candaq."
candaq,"Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: Chain (66.67%), Blockchain Service (33.33%). Associated fund: candaq."
candaq,"Investment activities in United Kingdom (GB). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Infrastructure (50.0%), DeFi (50.0%). Associated fund: candaq."
candaq,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: candaq.
candaq,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: candaq.
candaq,Investment activities in Indonesia (ID). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: candaq.
candaq,Investment activities in Germany (DE). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: candaq.
candaq,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: Chain (100.0%). Associated fund: candaq.
tangent,"Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Infrastructure (66.67%), Blockchain Service (33.33%). Associated fund: tangent."
primal-capital,Investment activities in United States (US). Normal investments: 4. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: primal-capital.
primal-capital,Investment activities in Puerto Rico (PR). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: primal-capital.
aquanow,"Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (66.67%), CeFi (33.33%). Associated fund: aquanow."
aquanow,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: aquanow.
aquanow,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: aquanow.
nonce-classic,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: nonce-classic.
nonce-classic,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: nonce-classic.
ocean,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: ocean.
wemix,Investment activities in South Korea (KR). Normal investments: 2. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: wemix.
wemix,Investment activities in South Africa (ZA). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: wemix.
wemix,Investment activities in Vietnam (VN). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: wemix.
nydig,"Investment activities in United States (US). Normal investments: 5. Lead investments: 5. Main sectors: Blockchain Service (50.0%), CeFi (40.0%), Blockchain Infrastructure (10.0%). Associated fund: nydig."
nydig,"Investment activities in United Kingdom (GB). Normal investments: 2. Lead investments: 1. Main sectors: Blockchain Service (66.67%), CeFi (33.33%). Associated fund: nydig."
nydig,Investment activities in Australia (AU). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: nydig.
nydig,Investment activities in Austria (AT). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: nydig.
nydig,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: nydig.
east-ventures,"Investment activities in Japan (JP). Normal investments: 3. Lead investments: 0. Main sectors: Social (66.67%), Blockchain Service (33.33%). Associated fund: east-ventures."
east-ventures,"Investment activities in Indonesia (ID). Normal investments: 1. Lead investments: 1. Main sectors: Blockchain Service (50.0%), CeFi (50.0%). Associated fund: east-ventures."
east-ventures,"Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 1. Main sectors: GameFi (50.0%), NFT (50.0%). Associated fund: east-ventures."
east-ventures,Investment activities in Switzerland (CH). Normal investments: 2. Lead investments: 0. Main sectors: Others (100.0%). Associated fund: east-ventures.
east-ventures,Investment activities in Thailand (TH). Normal investments: 1. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: east-ventures.
east-ventures,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: east-ventures.
east-ventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Social (100.0%). Associated fund: east-ventures.
lightning-ventures,"Investment activities in United States (US). Normal investments: 6. Lead investments: 0. Main sectors: Blockchain Service (66.67%), NFT (16.67%), CeFi (16.67%). Associated fund: lightning-ventures."
lightning-ventures,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: lightning-ventures.
lightning-ventures,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: lightning-ventures.
bitcoin-opportunity-fund,Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: bitcoin-opportunity-fund.
bitcoin-opportunity-fund,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: bitcoin-opportunity-fund.
solowin,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: Social (100.0%). Associated fund: solowin.
atw-partners,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: atw-partners.
071labs,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: Chain (100.0%). Associated fund: 071labs.
redbeardvc,"Investment activities in United States (US). Normal investments: 27. Lead investments: 1. Main sectors: NFT (25.0%), GameFi (25.0%), Blockchain Service (21.43%). Associated fund: redbeardvc."
redbeardvc,Investment activities in Australia (AU). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: redbeardvc.
redbeardvc,Investment activities in Austria (AT). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: redbeardvc.
redbeardvc,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: redbeardvc.
redbeardvc,Investment activities in France (FR). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: redbeardvc.
redbeardvc,Investment activities in Argentina (AR). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: redbeardvc.
redbeardvc,Investment activities in India (IN). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: redbeardvc.
redbeardvc,Investment activities in Kenya (KE). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: redbeardvc.
redbeardvc,Investment activities in Netherlands (NL). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: redbeardvc.
redbeardvc,Investment activities in Greece (GR). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: redbeardvc.
optic-capital,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: optic-capital.
sparkle-ventures,"Investment activities in United States (US). Normal investments: 4. Lead investments: 0. Main sectors: Blockchain Service (50.0%), Blockchain Infrastructure (25.0%), NFT (25.0%). Associated fund: sparkle-ventures."
sparkle-ventures,"Investment activities in France (FR). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (33.33%), GameFi (33.33%), CeFi (33.33%). Associated fund: sparkle-ventures."
sparkle-ventures,Investment activities in Canada (CA). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: sparkle-ventures.
sparkle-ventures,Investment activities in Switzerland (CH). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: sparkle-ventures.
sparkle-ventures,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: sparkle-ventures.
sparkle-ventures,Investment activities in Australia (AU). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: sparkle-ventures.
sparkle-ventures,Investment activities in Singapore (SG). Normal investments: 0. Lead investments: 1. Main sectors: DeFi (100.0%). Associated fund: sparkle-ventures.
blockbuilders,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: blockbuilders.
aimtop-ventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: aimtop-ventures.
camford-capital,Investment activities in United States (US). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: camford-capital.
ldv-partners,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: ldv-partners.
l-bank,"Investment activities in United States (US). Normal investments: 4. Lead investments: 0. Main sectors: Social (25.0%), Blockchain Infrastructure (25.0%), DeFi (25.0%). Associated fund: l-bank."
l-bank,"Investment activities in France (FR). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), CeFi (50.0%). Associated fund: l-bank."
l-bank,Investment activities in Finland (FI). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: l-bank.
l-bank,Investment activities in Taiwan (TW). Normal investments: 0. Lead investments: 1. Main sectors: NFT (100.0%). Associated fund: l-bank.
l-bank,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Chain (100.0%). Associated fund: l-bank.
antalpha-ventures,"Investment activities in United States (US). Normal investments: 5. Lead investments: 0. Main sectors: Blockchain Service (20.0%), GameFi (20.0%), Social (20.0%). Associated fund: antalpha-ventures."
antalpha-ventures,"Investment activities in Singapore (SG). Normal investments: 4. Lead investments: 0. Main sectors: Blockchain Service (75.0%), CeFi (25.0%). Associated fund: antalpha-ventures."
summer-ventures,Investment activities in China (CN). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: summer-ventures.
fasanara-digital,Investment activities in France (FR). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: fasanara-digital.
fasanara-digital,Investment activities in Israel (IL). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: fasanara-digital.
fasanara-digital,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: fasanara-digital.
fasanara-digital,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: fasanara-digital.
fasanara-digital,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: fasanara-digital.
trinito,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: trinito.
trinito,Investment activities in China (CN). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: trinito.
taiko,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: taiko.
white-loop-capital,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: white-loop-capital.
hash3,Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: hash3.
hash3,Investment activities in India (IN). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: hash3.
puzzle-ventures,"Investment activities in China (CN). Normal investments: 4. Lead investments: 0. Main sectors: Blockchain Infrastructure (50.0%), Blockchain Service (25.0%), CeFi (25.0%). Associated fund: puzzle-ventures."
puzzle-ventures,"Investment activities in Singapore (SG). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (66.67%), NFT (33.33%). Associated fund: puzzle-ventures."
puzzle-ventures,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: GameFi (50.0%), DeFi (50.0%). Associated fund: puzzle-ventures."
puzzle-ventures,Investment activities in Israel (IL). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: puzzle-ventures.
puzzle-ventures,Investment activities in Japan (JP). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: puzzle-ventures.
puzzle-ventures,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: puzzle-ventures.
puzzle-ventures,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: puzzle-ventures.
puzzle-ventures,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: puzzle-ventures.
a41-ventures,"Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: DeFi (66.67%), Blockchain Service (33.33%). Associated fund: a41-ventures."
a41-ventures,"Investment activities in United Kingdom (GB). Normal investments: 2. Lead investments: 0. Main sectors: GameFi (50.0%), DeFi (50.0%). Associated fund: a41-ventures."
a41-ventures,Investment activities in South Korea (KR). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: a41-ventures.
a41-ventures,Investment activities in Netherlands (NL). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: a41-ventures.
a41-ventures,Investment activities in China (CN). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: a41-ventures.
a41-ventures,Investment activities in Nigeria (NG). Normal investments: 1. Lead investments: 0. Main sectors: Stablecoin (100.0%). Associated fund: a41-ventures.
a41-ventures,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: a41-ventures.
a41-ventures,Investment activities in Nicaragua (NI). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: a41-ventures.
a41-ventures,Investment activities in India (IN). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: a41-ventures.
basisventures,Investment activities in China (CN). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: basisventures.
basisventures,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: basisventures.
basisventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Chain (100.0%). Associated fund: basisventures.
basisventures,Investment activities in Vietnam (VN). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: basisventures.
280-capital,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: Chain (100.0%). Associated fund: 280-capital.
byzantine-marine,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: byzantine-marine.
byzantine-marine,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: byzantine-marine.
byzantine-marine,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: byzantine-marine.
caliber-ventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Social (100.0%). Associated fund: caliber-ventures.
magic-fund,Investment activities in Indonesia (ID). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: magic-fund.
magic-fund,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: Chain (100.0%). Associated fund: magic-fund.
future-africa,Investment activities in Kenya (KE). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: future-africa.
future-africa,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Social (100.0%). Associated fund: future-africa.
microtraction,Investment activities in Ghana (GH). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: microtraction.
microtraction,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Social (100.0%). Associated fund: microtraction.
nftgo,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: nftgo.
woo-network,"Investment activities in United States (US). Normal investments: 4. Lead investments: 0. Main sectors: DeFi (50.0%), Blockchain Service (25.0%), Social (25.0%). Associated fund: woo-network."
woo-network,Investment activities in United Kingdom (GB). Normal investments: 2. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: woo-network.
woo-network,Investment activities in Bahamas (BS). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: woo-network.
woo-network,Investment activities in Japan (JP). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: woo-network.
woo-network,Investment activities in Philippines (PH). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: woo-network.
woo-network,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: woo-network.
cgv-fof,"Investment activities in Singapore (SG). Normal investments: 4. Lead investments: 0. Main sectors: Social (50.0%), GameFi (25.0%), NFT (25.0%). Associated fund: cgv-fof."
cgv-fof,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: cgv-fof.
