Category,Question,YAKE Keywords,Severity Score,Variations
Technical,"Can transactions be halted? Under what circumstances, and who authorizes this?","transactions halted circumstances, transactions halted, halted circumstances authorizes",,[]
Legal and Compliance,How will you adapt to upcoming regulations like the EU's MiCA or the U.S. Executive Order on crypto?,"executive order crypto, adapt upcoming regulations, upcoming regulations",,[]
Legal and Compliance,What if a major jurisdiction bans your project? How would you pivot or wind down?,"jurisdiction bans project, major jurisdiction bans, jurisdiction bans",,[]
Cybersecurity,"Do core team members use hardware wallets, multi-factor authentication, or undergo phishing training?","undergo phishing training, phishing training, authentication undergo phishing",,[]
Cybersecurity,"Does your blockchain/protocol have quantum-resistant cryptography (e.g., lattice-based algorithms)?","quantum resistant cryptography, protocol quantum resistant, quantum resistant",,[]
Cybersecurity,"What contingency plans exist if quantum computing breaks existing encryption standards (e.g., ECDSA)?","existing encryption standards, encryption standards ecdsa, encryption standards",,[]
Reputational and Strategic,"If PoW-based, do you purchase carbon offsets or use renewable energy? Are claims verified by third parties?","renewable energy claims, purchase carbon offsets, energy claims verified",,[]
Reputational and Strategic,"How do you align with ESG (Environmental, Social, Governance) frameworks for institutional investors?","frameworks institutional investors, institutional investors, frameworks institutional",,[]
Cybersecurity,How does your protocol mitigate miner extractable value (MEV) or bot front-running in DeFi transactions?,"protocol mitigate miner, mitigate miner extractable, defi transactions",,[]
Financial,"How are algorithmic stablecoins stress-tested against hyperinflation or 'death spirals' (e.g., TerraUSD collapse)?","algorithmic stablecoins stress, stablecoins stress tested, stablecoins stress",,[]
Financial,"Are there circuit breakers or stabilization mechanisms (e.g., arbitrage incentives) to maintain the peg?","incentives maintain peg, maintain peg, arbitrage incentives maintain",,[]
Technical,How many independent oracles feed data to your protocol? What happens if a majority are compromised?,"independent oracles feed, independent oracles, protocol happens majority",,[]
Technical,"Are oracle data sources decentralized (e.g., Chainlink) or centralized (e.g., Binance API)?","data sources decentralized, oracle data sources, sources decentralized",,[]
Legal and Compliance,"Which jurisdiction's courts govern disputes (e.g., Switzerland, Singapore)? Are binding arbitration clauses included?","singapore binding arbitration, binding arbitration clauses, courts govern disputes",,[]
Legal and Compliance,How do you ensure compliance with labor laws for remote team members or contractors across jurisdictions?,"compliance labor laws, labor laws remote, ensure compliance labor",,[]
Legal and Compliance,"Do marketing materials comply with jurisdiction-specific ad laws (e.g., UK's CAP Code, FTC guidelines)?","marketing materials comply, ad laws uk, specific ad laws",,[]
Auditability,"If custodial, do you publish Proof-of-Reserves audits? How frequently, and by whom?","reserves audits frequently, proof reserves audits, reserves audits",,[]
Auditability,"Are user funds co-mingled, or held in segregated accounts?","user funds mingled, segregated accounts, funds mingled",,[]
Technical,"How do you ensure compliance and security when operating on Layer 2s or sidechains (e.g., Polygon, Arbitrum)?","layer 2s sidechains, ensure compliance security, sidechains polygon arbitrum",,[]
Technical,Are bridges between Layer 1 and Layer 2 audited for centralization risks?,"layer audited centralization, audited centralization risks, audited centralization",,[]
Reputational and Strategic,"What is your protocol for public communication during crises (e.g., hacks, regulatory crackdowns)?","public communication crises, communication crises hacks, communication crises",,[]
Technical,"If using ZK-proofs (e.g., zkRollups), how do you balance privacy with regulators' demands for auditability?","zkrollups balance privacy, regulators demands auditability, using zk proofs",,[]
Technical,Is any code forked from other projects? How are licensing/attribution requirements met?,"forked projects licensing, code forked projects, projects licensing attribution",,[]
Legal and Compliance,"In which jurisdictions do you operate, and under which regulatory bodies are you registered?","regulatory bodies registered, jurisdictions operate regulatory, operate regulatory bodies",,[]
Legal and Compliance,"Have you obtained legal opinions confirming your project does not violate securities laws (e.g., Howey Test analysis)?","does violate securities, violate securities, violate securities laws",,[]
Legal and Compliance,"Are you integrated with blockchain analytics tools (e.g., Chainalysis)?","blockchain analytics tools, integrated blockchain analytics, analytics tools chainalysis",,"['Are blockchain analytics tools (e.g., Chainalysis, Elliptic) integrated to detect illicit or high-risk transactions in real time?']"
Legal and Compliance,"How do you ensure tax reporting (e.g., FATCA, IRS Form 1099)?","reporting fatca irs, ensure tax reporting, tax reporting fatca",,[]
Legal and Compliance,"How do you block users from OFAC-sanctioned countries (e.g., Iran, North Korea)?","ofac sanctioned countries, block users ofac, block users",,[]
Legal and Compliance,"Are decentralized features (e.g., DEX swaps) geofenced? If so, how?","swaps geofenced, decentralized features dex, dex swaps geofenced",,[]
Legal and Compliance,Do non-resident users trigger FBAR or CRS reporting obligations?,"fbar crs reporting, users trigger fbar, crs reporting obligations",,[]
Technical,Have smart contracts undergone third-party audits? Provide reports.,"audits provide, party audits provide, audits provide reports",,[]
Technical,Is there a kill switch or upgrade mechanism for exploits?,"upgrade mechanism exploits, kill switch upgrade, mechanism exploits",,[]
Technical,"Do you have insurance coverage for digital assets (e.g., custodial breaches)?","insurance coverage digital, coverage digital assets, digital assets custodial",,[]
Technical,"If using oracles (e.g., Chainlink), how is data integrity ensured?","chainlink data integrity, data integrity ensured, data integrity",,[]
Technical,"Does the project depend on centralized APIs (e.g., AWS) that could disrupt service?","centralized apis aws, centralized apis, depend centralized apis",,[]
Technical,Is the team's wallet activity auditable on-chain?,"wallet activity auditable, activity auditable chain, team wallet activity",,[]
Auditability,Is the whitepaper/technical documentation audited for accuracy?,"documentation audited accuracy, technical documentation audited, documentation audited",,[]
Auditability,"Are promotional claims (e.g., ROI, partnerships) substantiated?","promotional claims roi, promotional claims, claims roi partnerships",,[]
Auditability,Do influencers disclose paid promotions per regulations?,"paid promotions regulations, disclose paid promotions, influencers disclose paid",,[]
Auditability,"Are reported metrics (user counts, TVL) independently verifiable?","tvl independently verifiable, reported metrics user, metrics user counts",,[]
Auditability,How is 'wash trading' prevented in NFT marketplaces?,"wash trading prevented, wash trading, prevented nft marketplaces",,[]
Legal and Compliance,Are staking/yield mechanisms compliant with interest-bearing regulations?,"staking yield mechanisms, staking yield, yield mechanisms compliant",,[]
Legal and Compliance,How are rewards taxed for users?,"rewards taxed users, rewards taxed, taxed users",,[]
Reputational and Strategic,"What percentage of energy sources are renewable? Are there carbon offset initiatives, and how are they audited?","renewable carbon offset, sources renewable carbon, energy sources renewable",,[]
Reputational and Strategic,How does the project address e-waste from mining hardware or node infrastructure?,"waste mining, waste mining hardware, address waste mining",,[]
Reputational and Strategic,"Are there commitments to transition to greener technologies (e.g., Ethereum's shift to PoS)? Include timelines and accountability measures.","transition greener technologies, greener technologies ethereum, greener technologies",,[]
Reputational and Strategic,"How does the project's roadmap align with global climate goals (e.g., Paris Agreement)?","climate goals paris, global climate goals, climate goals",,[]
Reputational and Strategic,"Beyond e-waste, how are raw materials (e.g., semiconductors, rare earth metals) sourced for mining/node hardware? Are supply chains audited for conflict minerals or unethical mining practices?","metals sourced mining, earth metals sourced, metals sourced",,[]
Reputational and Strategic,Does the project account for water consumption and land-use impacts of data centers or mining farms?,"water consumption land, impacts data centers, project account water",,[]
Reputational and Strategic,"If the project relies on layer-2 solutions or cross-chain interoperability, what is the environmental footprint of the underlying blockchain (e.g., Bitcoin/Ethereum)?","interoperability environmental footprint, chain interoperability environmental, environmental footprint underlying",,[]
Reputational and Strategic,"Are decentralized storage solutions (e.g., IPFS, Filecoin) used for NFTs energy-efficient?","decentralized storage solutions, nfts energy efficient, decentralized storage",,[]
Reputational and Strategic,How does the project ensure accessibility for unbanked/underbanked populations? Does it risk exacerbating financial exclusion?,"ensure accessibility unbanked, accessibility unbanked underbanked, accessibility unbanked",,[]
Reputational and Strategic,"What safeguards exist to protect users from volatility, fraud, or scams (e.g., rug pulls)?","protect users volatility, protect users, safeguards exist",,[]
Reputational and Strategic,"Describe the diversity (gender, ethnicity, geography) of the core team and advisory boards.","diversity gender, diversity gender ethnicity, team advisory boards",,[]
Reputational and Strategic,How are marginalized or disproportionately affected communities engaged in decision-making?,"communities engaged decision, marginalized disproportionately affected, disproportionately affected communities",,[]
Reputational and Strategic,"Does the project audit hardware/mining partners for conflict minerals (e.g., cobalt, tantalum)?","partners conflict minerals, conflict minerals cobalt, does project audit",,[]
Reputational and Strategic,Are there measures to prevent exploitative labor practices in mining or development?,"prevent exploitative labor, exploitative labor practices, labor practices mining",,[]
Reputational and Strategic,"For NFT projects: How are intellectual property rights verified to prevent cultural appropriation, art theft, or misuse of sensitive content (e.g., indigenous art, personal data)?","sensitive content indigenous, intellectual property rights, content indigenous art",,[]
Reputational and Strategic,"Does the project address potential mental health harms from speculative trading (e.g., gambling-like mechanics, FOMO-driven NFT drops)?","harms speculative trading, health harms speculative, mental health harms",,[]
Reputational and Strategic,"Are there systemic biases in participation (e.g., high gas fees excluding low-income users, geographic restrictions on access)?","systemic biases participation, biases participation high, biases participation",,[]
Reputational and Strategic,"How does the project mitigate risks of algorithmic discrimination in AI-driven features (e.g., generative NFT algorithms)?","risks algorithmic discrimination, discrimination ai driven, algorithmic discrimination",,[]
Reputational and Strategic,"What protocols exist to support users during market crashes, hacks, or scams? Is there a compensation fund or insurance mechanism?","support users market, crashes hacks scams, market crashes hacks",,[]
Reputational and Strategic,"How does the project address potential social unrest caused by wealth concentration (e.g., 'whales' manipulating markets)?","wealth concentration whales, caused wealth concentration, whales manipulating markets",,[]
Reputational and Strategic,"Does the project solve a tangible problem (e.g., carbon credit tokenization, DAOs for climate action) or exist purely for speculation?","tangible problem carbon, project solve tangible, does project solve",,[]
Reputational and Strategic,"Are there partnerships with NGOs, governments, or academia to amplify real-world impact?","partnerships ngos, partnerships ngos governments, ngos governments academia",,[]
Reputational and Strategic,"If the code is open-source, how does the project prevent malicious forks or misuse by bad actors?","malicious forks misuse, prevent malicious forks, malicious forks",,[]
Legal and Compliance,Are there historical issues or case studies associated with aml  kyc & compliance?,"aml kyc compliance, kyc compliance, associated aml kyc|aml kyc practices, kyc practices, studies associated aml|studies associated auditability, associated auditability, issues case studies|custody asset security, studies associated custody, custody asset|custody key management, studies associated custody, custody key|studies associated cybersecurity, associated cybersecurity, issues case studies|studies associated cybersecurity, cybersecurity risk management, associated cybersecurity risk|studies associated financial, issues case studies, historical issues case|associated governance disclosures, governance disclosures, studies associated governance|governance strategic alignment, associated governance strategic, governance strategic|associated governance voting, governance voting, studies associated governance|ip licensing, associated ip licensing, studies associated ip|associated infrastructure ecosystem, infrastructure ecosystem, studies associated infrastructure|jurisdictional global risk, studies associated jurisdictional, global risk|legal regulatory compliance, associated legal regulatory, regulatory compliance|associated legal compliance, legal compliance, studies associated legal|market conduct manipulation, market conduct, studies associated market|associated operational diligence, operational diligence, studies associated operational|associated operational integrity, operational integrity, studies associated operational|associated regulatory compliance, regulatory compliance, studies associated regulatory|associated reputational strategic, reputational strategic, studies associated reputational|contract protocol risks, protocol risks, issues case studies|studies associated technical, issues case studies, case studies associated|associated technical integrity, technical integrity, issues case studies|associated tokenomics emissions, tokenomics emissions, studies associated tokenomics|tokenomics financial discipline, associated tokenomics financial, tokenomics financial|studies associated valuation, valuation verification, associated valuation verification",,[]
Legal and Compliance,Has the project published disclosures related to aml  kyc & compliance?,"aml kyc compliance, disclosures related aml, project published disclosures|disclosures related aml, aml kyc practices, project published disclosures|disclosures related auditability, project published disclosures, related auditability|disclosures related cybersecurity, project published disclosures, published disclosures related|project published disclosures, disclosures related financial, published disclosures related|project published disclosures, related governance disclosures, disclosures related governance|project published disclosures, disclosures related ip, published disclosures related|project published disclosures, published disclosures related, published disclosures|project published disclosures, disclosures related regulatory, published disclosures related|project published disclosures, disclosures related technical, published disclosures related",,[]
Legal and Compliance,Is there regulatory guidance applicable to aml  kyc & compliance?,"aml kyc compliance, applicable aml kyc, kyc compliance|aml kyc practices, applicable aml kyc, guidance applicable aml|guidance applicable auditability, applicable auditability, regulatory guidance applicable|guidance applicable cybersecurity, applicable cybersecurity, regulatory guidance applicable|guidance applicable financial, regulatory guidance applicable, regulatory guidance|applicable ip licensing, ip licensing, regulatory guidance applicable|legal regulatory compliance, regulatory guidance applicable, applicable legal regulatory|regulatory guidance applicable, regulatory guidance, applicable legal compliance|regulatory guidance applicable, applicable regulatory compliance, guidance applicable regulatory|regulatory guidance applicable, regulatory guidance, guidance applicable technical",,[]
Legal and Compliance,How do global standards or laws impact aml  kyc & compliance policies?,"aml kyc compliance, kyc compliance policies, kyc compliance|global standards laws, kyc practices policies, global standards|laws impact auditability, impact auditability policies, auditability policies|laws impact cybersecurity, impact cybersecurity policies, cybersecurity policies|laws impact financial, global standards laws, impact financial policies|ip licensing policies, impact ip licensing, ip licensing|global standards laws, regulatory compliance policies, legal regulatory compliance|global standards laws, legal compliance policies, standards laws impact|regulatory compliance policies, impact regulatory compliance, regulatory compliance|impact technical policies, technical policies, global standards laws",,[]
Legal and Compliance,How does the team respond to issues arising in aml  kyc & compliance?,"aml kyc compliance, kyc compliance, issues arising aml|aml kyc practices, issues arising aml, kyc practices|issues arising auditability, arising auditability, team respond issues|issues arising cybersecurity, arising cybersecurity, team respond issues|issues arising financial, team respond issues, arising financial|arising ip licensing, ip licensing, issues arising ip|legal regulatory compliance, regulatory compliance, respond issues arising|arising legal compliance, legal compliance, respond issues arising|arising regulatory compliance, regulatory compliance, issues arising regulatory|issues arising technical, team respond issues, respond issues arising",,[]
Legal and Compliance,Are stakeholders involved in decisions about aml  kyc & compliance?,"aml kyc compliance, decisions aml kyc, kyc compliance|aml kyc practices, involved decisions aml, decisions aml kyc|involved decisions auditability, decisions auditability, stakeholders involved decisions|involved decisions cybersecurity, decisions cybersecurity, stakeholders involved decisions|stakeholders involved decisions, stakeholders involved, involved decisions financial|decisions ip licensing, ip licensing, stakeholders involved decisions|stakeholders involved decisions, legal regulatory compliance, stakeholders involved|stakeholders involved decisions, stakeholders involved, decisions legal compliance|decisions regulatory compliance, stakeholders involved decisions, regulatory compliance|stakeholders involved decisions, stakeholders involved, involved decisions technical",,[]
Legal and Compliance,What are the best practices followed in the domain of aml  kyc & compliance?,"aml kyc compliance, kyc compliance, domain aml kyc|aml kyc practices, kyc practices, best practices followed|domain auditability, followed domain auditability, best practices|domain cybersecurity, followed domain cybersecurity, best practices followed|best practices, best practices followed, domain financial|domain ip licensing, ip licensing, domain ip|legal regulatory compliance, regulatory compliance, legal regulatory|legal compliance, domain legal compliance, best practices followed|regulatory compliance, domain regulatory compliance, domain regulatory|best practices followed, best practices, domain technical",,[]
Legal and Compliance,To what extent does aml  kyc & compliance influence investor confidence?,"aml kyc compliance, kyc compliance influence, compliance influence investor|aml kyc practices, influence investor confidence, investor confidence|auditability influence investor, does auditability influence, auditability influence|cybersecurity influence investor, does cybersecurity influence, cybersecurity influence|influence investor confidence, investor confidence, financial influence investor|influence investor confidence, licensing influence investor, investor confidence|compliance influence investor, influence investor confidence, investor confidence|compliance influence investor, influence investor confidence, regulatory compliance influence|influence investor confidence, investor confidence, technical influence investor",,[]
Legal and Compliance,Are third-party evaluations available for aml  kyc & compliance?,"aml kyc compliance, evaluations available aml, kyc compliance|evaluations available aml, aml kyc practices, evaluations available|evaluations available auditability, available auditability, evaluations available|evaluations available financial, evaluations available, party evaluations available|available ip licensing, evaluations available ip, ip licensing|evaluations available legal, legal regulatory compliance, available legal regulatory|evaluations available legal, available legal compliance, evaluations available|evaluations available regulatory, available regulatory compliance, regulatory compliance|evaluations available technical, evaluations available, party evaluations available",,"['Are third-party evaluations of aml/kyc made publicly available to stakeholders?', 'Are third-party evaluations of privacy compliance made publicly available to stakeholders?']"
Legal and Compliance,How are risks within aml  kyc & compliance identified and mitigated?,"aml kyc compliance, risks aml kyc, kyc compliance identified|risks aml kyc, aml kyc practices, risks aml|risks auditability identified, risks auditability, auditability identified mitigated|risks cybersecurity identified, cybersecurity identified mitigated, risks cybersecurity|risks financial identified, risks financial, financial identified mitigated|risks ip licensing, risks ip, licensing identified mitigated|risks legal regulatory, legal regulatory compliance, regulatory compliance|risks legal compliance, compliance identified mitigated, legal compliance|risks regulatory compliance, risks regulatory, regulatory compliance|risks technical identified, risks technical, technical identified mitigated",,[]
Legal and Compliance,What technologies or protocols are used to handle aml  kyc & compliance?,"aml kyc compliance, kyc compliance, handle aml kyc|aml kyc practices, kyc practices, handle aml kyc|handle auditability, used handle auditability, technologies protocols|handle cybersecurity, technologies protocols used, protocols used|handle financial, technologies protocols used, technologies protocols|ip licensing, handle ip licensing, technologies protocols used|legal regulatory compliance, regulatory compliance, handle legal regulatory|handle legal compliance, legal compliance, technologies protocols used|handle regulatory compliance, regulatory compliance, handle regulatory|technologies protocols used, technologies protocols, protocols used",,[]
Legal and Compliance,Who is responsible for overseeing aml  kyc & compliance in the project?,"overseeing aml kyc, aml kyc compliance, responsible overseeing aml|overseeing aml kyc, responsible overseeing aml, aml kyc practices|overseeing auditability project, responsible overseeing auditability, overseeing auditability|responsible overseeing cybersecurity, overseeing cybersecurity project, overseeing cybersecurity|overseeing financial project, responsible overseeing financial, overseeing financial|overseeing ip licensing, responsible overseeing ip, ip licensing project|overseeing legal regulatory, responsible overseeing legal, overseeing legal|overseeing legal compliance, responsible overseeing legal, overseeing legal|overseeing regulatory compliance, responsible overseeing regulatory, overseeing regulatory|overseeing technical project, responsible overseeing technical, overseeing technical",,[]
Legal and Compliance,What transparency measures are in place for aml  kyc & compliance?,"aml kyc compliance, kyc compliance, transparency measures|aml kyc practices, transparency measures, kyc practices|transparency measures, measures place auditability, transparency measures place|transparency measures, transparency measures place, measures place cybersecurity|transparency measures, transparency measures place, measures place financial|ip licensing, place ip licensing, transparency measures|legal regulatory compliance, regulatory compliance, transparency measures|transparency measures, legal compliance, transparency measures place|regulatory compliance, transparency measures, place regulatory compliance|transparency measures, transparency measures place, measures place technical",,[]
Legal and Compliance,What benchmarks are used to evaluate aml  kyc & compliance success?,"aml kyc compliance, kyc compliance success, evaluate aml kyc|aml kyc practices, evaluate aml kyc, kyc practices success|evaluate auditability success, evaluate auditability, auditability success|evaluate cybersecurity success, evaluate cybersecurity, cybersecurity success|evaluate financial success, benchmarks used evaluate, benchmarks used|evaluate ip licensing, ip licensing success, benchmarks used|regulatory compliance success, evaluate legal regulatory, compliance success|legal compliance success, evaluate legal compliance, compliance success|evaluate regulatory compliance, regulatory compliance success, compliance success|benchmarks used evaluate, benchmarks used, evaluate technical success",,[]
Legal and Compliance,What red flags should be monitored in terms of aml  kyc & compliance?,"aml kyc compliance, kyc compliance, red flags monitored|aml kyc practices, red flags monitored, kyc practices|red flags monitored, monitored terms auditability, flags monitored|red flags monitored, monitored terms cybersecurity, terms cybersecurity|red flags monitored, monitored terms financial, flags monitored|ip licensing, red flags monitored, terms ip licensing|legal regulatory compliance, red flags monitored, regulatory compliance|red flags monitored, legal compliance, flags monitored|regulatory compliance, red flags monitored, terms regulatory compliance|red flags monitored, flags monitored, flags monitored terms",,[]
Legal and Compliance,How frequently are aml  kyc & compliance controls audited or reviewed?,"aml kyc compliance, compliance controls audited, kyc compliance controls|practices controls audited, aml kyc practices, kyc practices controls|auditability controls audited, frequently auditability controls, auditability controls|cybersecurity controls audited, frequently cybersecurity controls, frequently cybersecurity|financial controls audited, controls audited reviewed, controls audited|licensing controls audited, frequently ip licensing, ip licensing controls|compliance controls audited, regulatory compliance controls, legal regulatory compliance|compliance controls audited, frequently legal compliance, legal compliance controls|compliance controls audited, frequently regulatory compliance, regulatory compliance controls|technical controls audited, controls audited reviewed, controls audited",,[]
Legal and Compliance,How is performance in aml  kyc & compliance tracked and reported?,"aml kyc compliance, kyc compliance tracked, performance aml kyc|performance aml kyc, aml kyc practices, kyc practices tracked|performance auditability tracked, auditability tracked reported, auditability tracked|performance cybersecurity tracked, performance cybersecurity, cybersecurity tracked|performance financial tracked, financial tracked reported, performance financial|performance ip licensing, ip licensing tracked, licensing tracked|performance legal regulatory, regulatory compliance tracked, legal regulatory compliance|performance legal compliance, legal compliance tracked, compliance tracked reported|performance regulatory compliance, regulatory compliance tracked, performance regulatory|performance technical tracked, performance technical, technical tracked reported",,[]
Cybersecurity,What technologies or protocols are used to handle custody & asset security?,"custody asset security, handle custody asset, custody asset|custody key management, handle custody key, custody key",,[]
Cybersecurity,Are third-party evaluations available for custody & asset security?,"evaluations available custody, custody asset security, available custody asset|evaluations available custody, custody key management, available custody key|evaluations available cybersecurity, available cybersecurity, evaluations available",,[]
Cybersecurity,What benchmarks are used to evaluate custody & asset security success?,"evaluate custody asset, custody asset security, asset security success|custody key management, evaluate custody key, evaluate custody",,[]
Cybersecurity,How are risks within custody & asset security identified and mitigated?,"risks custody asset, custody asset security, risks custody|risks custody key, custody key management, risks custody",,[]
Cybersecurity,To what extent does custody & asset security influence investor confidence?,"custody asset security, does custody asset, influence investor confidence|influence investor confidence, management influence investor, investor confidence",,[]
Cybersecurity,Who is responsible for overseeing custody & asset security in the project?,"overseeing custody asset, custody asset security, responsible overseeing custody|responsible overseeing custody, overseeing custody key, overseeing custody",,[]
Cybersecurity,What are the best practices followed in the domain of custody & asset security?,"custody asset security, custody asset, domain custody asset|custody key management, custody key, domain custody key",,[]
Cybersecurity,What red flags should be monitored in terms of custody & asset security?,"custody asset security, monitored terms custody, custody asset|custody key management, monitored terms custody, custody key",,[]
Cybersecurity,How does the team respond to issues arising in custody & asset security?,"custody asset security, custody asset, arising custody asset|custody key management, arising custody key, issues arising custody",,[]
Cybersecurity,How is performance in custody & asset security tracked and reported?,"performance custody asset, custody asset security, performance custody|performance custody key, custody key management, performance custody",,[]
Cybersecurity,What transparency measures are in place for custody & asset security?,"custody asset security, custody asset, transparency measures|custody key management, transparency measures, custody key",,[]
Cybersecurity,How frequently are custody & asset security controls audited or reviewed?,"custody asset security, security controls audited, frequently custody asset|management controls audited, custody key management, controls audited",,[]
Cybersecurity,Are stakeholders involved in decisions about custody & asset security?,"decisions custody asset, custody asset security, stakeholders involved decisions|stakeholders involved decisions, custody key management, decisions custody key",,[]
Cybersecurity,Has the project published disclosures related to custody & asset security?,"project published disclosures, published disclosures related, disclosures related custody|project published disclosures, disclosures related custody, published disclosures related",,[]
Cybersecurity,Is there regulatory guidance applicable to custody & asset security?,"custody asset security, applicable custody asset, custody asset|custody key management, guidance applicable custody, applicable custody key",,[]
Cybersecurity,How do global standards or laws impact custody & asset security policies?,"custody asset security, asset security policies, laws impact custody|custody key management, key management policies, laws impact custody",,[]
Cybersecurity,Is there regulatory guidance applicable to cybersecurity & risk management?,"guidance applicable cybersecurity, cybersecurity risk management, applicable cybersecurity risk",,[]
Cybersecurity,What benchmarks are used to evaluate cybersecurity & risk management success?,"evaluate cybersecurity, evaluate cybersecurity risk, used evaluate cybersecurity",,[]
Cybersecurity,To what extent does cybersecurity & risk management influence investor confidence?,"influence investor confidence, investor confidence, does cybersecurity risk",,[]
Cybersecurity,Are stakeholders involved in decisions about cybersecurity & risk management?,"involved decisions cybersecurity, decisions cybersecurity risk, cybersecurity risk management",,[]
Cybersecurity,How frequently are cybersecurity & risk management controls audited or reviewed?,"management controls audited, controls audited reviewed, controls audited",,[]
Cybersecurity,How do global standards or laws impact cybersecurity & risk management policies?,"laws impact cybersecurity, impact cybersecurity risk, cybersecurity risk management",,[]
Cybersecurity,Who is responsible for overseeing cybersecurity & risk management in the project?,"responsible overseeing cybersecurity, overseeing cybersecurity risk, overseeing cybersecurity",,[]
Cybersecurity,How are risks within cybersecurity & risk management identified and mitigated?,"cybersecurity risk management, risks cybersecurity risk, risks cybersecurity",,[]
Cybersecurity,Are third-party evaluations available for cybersecurity & risk management?,"evaluations available cybersecurity, cybersecurity risk management, evaluations available",,[]
Cybersecurity,What are the best practices followed in the domain of cybersecurity & risk management?,"cybersecurity risk management, cybersecurity risk, domain cybersecurity risk",,[]
Cybersecurity,Has the project published disclosures related to cybersecurity & risk management?,"disclosures related cybersecurity, project published disclosures, published disclosures",,[]
Cybersecurity,How is performance in cybersecurity & risk management tracked and reported?,"performance cybersecurity, performance cybersecurity risk, risk management tracked",,[]
Cybersecurity,What technologies or protocols are used to handle cybersecurity & risk management?,"cybersecurity risk management, handle cybersecurity risk, handle cybersecurity",,[]
Cybersecurity,What transparency measures are in place for cybersecurity & risk management?,"transparency measures, cybersecurity risk management, transparency measures place",,[]
Cybersecurity,What red flags should be monitored in terms of cybersecurity & risk management?,"cybersecurity risk management, red flags monitored, cybersecurity risk",,[]
Cybersecurity,How does the team respond to issues arising in cybersecurity & risk management?,"issues arising cybersecurity, cybersecurity risk management, arising cybersecurity risk",,[]
Cybersecurity,Are third-party evaluations available for governance & disclosures?,"evaluations available governance, available governance disclosures, governance disclosures|evaluations available governance, governance strategic alignment, available governance strategic|evaluations available governance, available governance voting, party evaluations available",,"['Are third-party evaluations of governance and operational security made publicly available to stakeholders?', 'Are third-party evaluations of environmental, social and governance (esg) made publicly available to stakeholders?']"
Reputational and Strategic,What benchmarks are used to evaluate reputational and strategic success?,"evaluate reputational strategic, reputational strategic success, reputational strategic",,[]
Reputational and Strategic,What technologies or protocols are used to handle reputational and strategic?,"handle reputational strategic, reputational strategic, handle reputational",,[]
Reputational and Strategic,How are risks within reputational and strategic identified and mitigated?,"risks reputational strategic, risks reputational, reputational strategic identified",,[]
Reputational and Strategic,How is performance in reputational and strategic tracked and reported?,"reputational strategic tracked, performance reputational strategic, strategic tracked reported",,[]
Reputational and Strategic,Who is responsible for overseeing reputational and strategic in the project?,"overseeing reputational strategic, responsible overseeing reputational, overseeing reputational",,[]
Reputational and Strategic,Are stakeholders involved in decisions about reputational and strategic?,"decisions reputational strategic, stakeholders involved decisions, involved decisions reputational",,[]
Reputational and Strategic,Are third-party evaluations available for reputational and strategic?,"evaluations available reputational, available reputational strategic, reputational strategic",,[]
Reputational and Strategic,How does the team respond to issues arising in reputational and strategic?,"arising reputational strategic, reputational strategic, issues arising reputational",,[]
Reputational and Strategic,Is there regulatory guidance applicable to reputational and strategic?,"applicable reputational strategic, guidance applicable reputational, reputational strategic",,[]
Reputational and Strategic,What red flags should be monitored in terms of reputational and strategic?,"red flags monitored, reputational strategic, flags monitored",,[]
Reputational and Strategic,What transparency measures are in place for reputational and strategic?,"reputational strategic, transparency measures, place reputational strategic",,[]
Reputational and Strategic,How frequently are reputational and strategic controls audited or reviewed?,"strategic controls audited, controls audited reviewed, controls audited",,[]
Reputational and Strategic,To what extent does reputational and strategic influence investor confidence?,"influence investor confidence, reputational strategic influence, does reputational strategic",,[]
Reputational and Strategic,How do global standards or laws impact reputational and strategic policies?,"reputational strategic policies, global standards laws, global standards",,[]
Reputational and Strategic,What are the best practices followed in the domain of reputational and strategic?,"reputational strategic, domain reputational strategic, domain reputational",,[]
Technical,Are third-party evaluations available for smart contract & protocol risks?,"evaluations available smart, contract protocol risks, protocol risks",,[]
Technical,Are stakeholders involved in decisions about smart contract & protocol risks?,"stakeholders involved decisions, contract protocol risks, stakeholders involved",,[]
Technical,How does the team respond to issues arising in smart contract & protocol risks?,"contract protocol risks, protocol risks, team respond issues",,[]
Technical,How are risks within smart contract & protocol risks identified and mitigated?,"protocol risks identified, risks smart contract, risks identified mitigated",,[]
Technical,Has the project published disclosures related to smart contract & protocol risks?,"project published disclosures, published disclosures related, published disclosures",,[]
Technical,Is there regulatory guidance applicable to smart contract & protocol risks?,"contract protocol risks, regulatory guidance applicable, protocol risks",,[]
Technical,What technologies or protocols are used to handle smart contract & protocol risks?,"contract protocol risks, protocol risks, smart contract protocol",,[]
Technical,Who is responsible for overseeing smart contract & protocol risks in the project?,"overseeing smart contract, protocol risks project, responsible overseeing smart",,[]
Technical,How is performance in smart contract & protocol risks tracked and reported?,"protocol risks tracked, risks tracked reported, contract protocol risks",,[]
Technical,How do global standards or laws impact smart contract & protocol risks policies?,"protocol risks policies, contract protocol risks, global standards laws",,[]
Technical,What transparency measures are in place for smart contract & protocol risks?,"transparency measures, contract protocol risks, protocol risks",,[]
Technical,To what extent does smart contract & protocol risks influence investor confidence?,"influence investor confidence, investor confidence, risks influence investor",,[]
