question,category,severity,data_accessibility,category_risk,strategic_impact,risk_score,error,raw_output
"How do you block users from OFAC-sanctioned countries (e.g., Iran, North Korea)?",Legal and Compliance,4.0,3.0,2.0,1.0,1.5,,
"Are decentralized features (e.g., DEX swaps) geofenced? If so, how?",Legal and Compliance,6.0,7.0,8.0,5.0,4.21,,
Do non-resident users trigger FBAR or CRS reporting obligations?,Legal and Compliance,7.0,5.0,6.0,4.0,4.0,,
Have smart contracts undergone third-party audits? Provide reports.,Technical,8.0,9.0,5.0,6.0,4.21,,
Is there a kill switch or upgrade mechanism for exploits?,Technical,4.0,3.0,2.0,1.0,1.5,,
"Do you have insurance coverage for digital assets (e.g., custodial breaches)?",Technical,5.0,3.0,4.0,2.0,2.57,,
"If using oracles (e.g., Chainlink), how is data integrity ensured?",Technical,2.0,3.0,1.0,4.0,1.79,,
"Does the project depend on centralized APIs (e.g., AWS) that could disrupt service?",Technical,4.0,3.0,5.0,2.0,2.5,,
Is the team's wallet activity auditable on-chain?,Technical,2.0,1.0,3.0,4.0,2.5,,
Is the whitepaper/technical documentation audited for accuracy?,Auditability,3.0,2.0,1.0,4.0,2.21,,
"Are promotional claims (e.g., ROI, partnerships) substantiated?",Auditability,7.0,5.0,8.0,6.0,5.14,,
Do influencers disclose paid promotions per regulations?,Auditability,4.0,2.0,3.0,5.0,3.29,,
"Are reported metrics (user counts, TVL) independently verifiable?",Auditability,6.0,4.0,5.0,3.0,3.29,,
How is 'wash trading' prevented in NFT marketplaces?,Auditability,6.0,4.0,5.0,3.0,3.29,,
Are staking/yield mechanisms compliant with interest-bearing regulations?,Legal and Compliance,6.0,8.0,5.0,7.0,4.14,,
How are rewards taxed for users?,Legal and Compliance,2.0,1.0,3.0,4.0,2.5,,
"What percentage of energy sources are renewable? Are there carbon offset initiatives, and how are they audited?",Reputational and Strategic,20.0,15.0,30.0,35.0,22.5,,
How does the project address e-waste from mining hardware or node infrastructure?,Reputational and Strategic,5.0,3.0,4.0,2.0,2.57,,
"Are there commitments to transition to greener technologies (e.g., Ethereum's shift to PoS)? Include timelines and accountability measures.",Reputational and Strategic,2.0,1.0,3.0,4.0,2.5,,
"How does the project's roadmap align with global climate goals (e.g., Paris Agreement)?",Reputational and Strategic,5.0,4.0,6.0,3.0,3.21,,
"Beyond e-waste, how are raw materials (e.g., semiconductors, rare earth metals) sourced for mining/node hardware? Are supply chains audited for conflict minerals or unethical mining practices?",Reputational and Strategic,6.0,3.0,5.0,8.0,5.21,,
Does the project account for water consumption and land-use impacts of data centers or mining farms?,Reputational and Strategic,3.0,1.0,2.0,4.0,2.57,,
"If the project relies on layer-2 solutions or cross-chain interoperability, what is the environmental footprint of the underlying blockchain (e.g., Bitcoin/Ethereum)?",Reputational and Strategic,7.0,5.0,6.0,8.0,5.43,,
"Are decentralized storage solutions (e.g., IPFS, Filecoin) used for NFTs energy-efficient?",Reputational and Strategic,4.0,3.0,2.0,5.0,2.93,,
How does the project ensure accessibility for unbanked/underbanked populations? Does it risk exacerbating financial exclusion?,Reputational and Strategic,4.0,3.0,5.0,2.0,2.5,,
"What safeguards exist to protect users from volatility, fraud, or scams (e.g., rug pulls)?",Reputational and Strategic,6.0,5.0,7.0,8.0,5.36,,
"Describe the diversity (gender, ethnicity, geography) of the core team and advisory boards.",Reputational and Strategic,5.0,3.0,2.0,4.0,2.86,,
How are marginalized or disproportionately affected communities engaged in decision-making?,Reputational and Strategic,6.0,8.0,7.0,9.0,5.29,,
"Does the project audit hardware/mining partners for conflict minerals (e.g., cobalt, tantalum)?",Reputational and Strategic,3.0,2.0,1.0,4.0,2.21,,
Are there measures to prevent exploitative labor practices in mining or development?,Reputational and Strategic,4.0,3.0,2.0,5.0,2.93,,
"For NFT projects: How are intellectual property rights verified to prevent cultural appropriation, art theft, or misuse of sensitive content (e.g., indigenous art, personal data)?",Reputational and Strategic,8.0,7.0,9.0,6.0,5.36,,
"Does the project address potential mental health harms from speculative trading (e.g., gambling-like mechanics, FOMO-driven NFT drops)?",Reputational and Strategic,8.0,4.0,9.0,7.0,6.14,,
"Are there systemic biases in participation (e.g., high gas fees excluding low-income users, geographic restrictions on access)?",Reputational and Strategic,6.0,8.0,7.0,5.0,3.86,,
"How does the project mitigate risks of algorithmic discrimination in AI-driven features (e.g., generative NFT algorithms)?",Reputational and Strategic,6.0,5.0,4.0,7.0,4.36,,
"What protocols exist to support users during market crashes, hacks, or scams? Is there a compensation fund or insurance mechanism?",Reputational and Strategic,6.0,5.0,7.0,8.0,5.36,,
"How does the project address potential social unrest caused by wealth concentration (e.g., 'whales' manipulating markets)?",Reputational and Strategic,6.0,4.0,5.0,7.0,4.71,,
"Does the project solve a tangible problem (e.g., carbon credit tokenization, DAOs for climate action) or exist purely for speculation?",Reputational and Strategic,6.0,3.0,5.0,7.0,4.86,,
"Are there partnerships with NGOs, governments, or academia to amplify real-world impact?",Reputational and Strategic,2.0,1.0,3.0,4.0,2.5,,
"If the code is open-source, how does the project prevent malicious forks or misuse by bad actors?",Reputational and Strategic,3.0,2.0,4.0,5.0,3.21,,
Are there historical issues or case studies associated with aml  kyc & compliance?,Legal and Compliance,7.0,5.0,8.0,6.0,5.14,,
Has the project published disclosures related to aml  kyc & compliance?,Legal and Compliance,2.0,1.0,3.0,2.0,1.79,,
Is there regulatory guidance applicable to aml  kyc & compliance?,Legal and Compliance,2.0,3.0,1.0,4.0,1.79,,
How do global standards or laws impact aml  kyc & compliance policies?,Legal and Compliance,7.0,6.0,5.0,8.0,5.07,,
How does the team respond to issues arising in aml  kyc & compliance?,Legal and Compliance,4.0,5.0,3.0,2.0,1.79,,
Are stakeholders involved in decisions about aml  kyc & compliance?,Legal and Compliance,2.0,1.0,3.0,4.0,2.5,,
What are the best practices followed in the domain of aml  kyc & compliance?,Legal and Compliance,6.0,4.0,5.0,7.0,4.71,,
To what extent does aml  kyc & compliance influence investor confidence?,Legal and Compliance,6.0,4.0,5.0,8.0,5.07,,
Are third-party evaluations available for aml  kyc & compliance?,Legal and Compliance,3.0,4.0,2.0,1.0,1.07,,
How are risks within aml  kyc & compliance identified and mitigated?,Legal and Compliance,8.0,7.0,6.0,9.0,5.79,,
What technologies or protocols are used to handle aml  kyc & compliance?,Legal and Compliance,2.5,1.0,3.0,4.0,2.64,,
Who is responsible for overseeing aml  kyc & compliance in the project?,Legal and Compliance,4.0,3.0,2.0,5.0,2.93,,
What transparency measures are in place for aml  kyc & compliance?,Legal and Compliance,7.0,8.0,6.0,5.0,3.93,,
What benchmarks are used to evaluate aml  kyc & compliance success?,Legal and Compliance,6.5,8.2,4.1,7.9,4.39,,
What red flags should be monitored in terms of aml  kyc & compliance?,Legal and Compliance,7.0,6.0,5.0,8.0,5.07,,
How frequently are aml  kyc & compliance controls audited or reviewed?,Legal and Compliance,8.0,6.0,4.0,7.0,4.79,,
How is performance in aml  kyc & compliance tracked and reported?,Legal and Compliance,7.0,8.0,6.0,9.0,5.36,,
What technologies or protocols are used to handle custody & asset security?,Cybersecurity,7.0,6.0,8.0,5.0,4.64,,
Are third-party evaluations available for custody & asset security?,Cybersecurity,4.0,5.0,3.0,2.0,1.79,,
What benchmarks are used to evaluate custody & asset security success?,Cybersecurity,4.0,3.0,2.0,5.0,2.93,,
How are risks within custody & asset security identified and mitigated?,Cybersecurity,8.0,6.0,4.0,7.0,4.79,,
To what extent does custody & asset security influence investor confidence?,Cybersecurity,7.0,8.0,6.0,9.0,5.36,,
Who is responsible for overseeing custody & asset security in the project?,Cybersecurity,3.0,2.0,1.0,4.0,2.21,,
What are the best practices followed in the domain of custody & asset security?,Cybersecurity,7.0,8.0,6.0,9.0,5.36,,
What red flags should be monitored in terms of custody & asset security?,Cybersecurity,7.0,5.0,4.0,6.0,4.29,,
How does the team respond to issues arising in custody & asset security?,Cybersecurity,7.0,5.0,8.0,6.0,5.14,,
How is performance in custody & asset security tracked and reported?,Cybersecurity,6.0,4.0,5.0,7.0,4.71,,
What transparency measures are in place for custody & asset security?,Cybersecurity,6.0,4.0,5.0,7.0,4.71,,
How frequently are custody & asset security controls audited or reviewed?,Cybersecurity,6.0,4.0,5.0,7.0,4.71,,
Are stakeholders involved in decisions about custody & asset security?,Cybersecurity,6.0,5.0,4.0,3.0,2.93,,
Has the project published disclosures related to custody & asset security?,Cybersecurity,3.0,2.0,1.0,4.0,2.21,,
Is there regulatory guidance applicable to custody & asset security?,Cybersecurity,6.0,8.0,4.0,7.0,3.93,,
How do global standards or laws impact custody & asset security policies?,Cybersecurity,6.0,4.0,5.0,8.0,5.07,,
Is there regulatory guidance applicable to cybersecurity & risk management?,Cybersecurity,8.0,6.0,7.0,9.0,6.14,,
What benchmarks are used to evaluate cybersecurity & risk management success?,Cybersecurity,7.2,6.1,8.5,9.4,6.36,,
To what extent does cybersecurity & risk management influence investor confidence?,Cybersecurity,7.0,5.0,8.0,9.0,6.21,,
Are stakeholders involved in decisions about cybersecurity & risk management?,Cybersecurity,6.0,4.0,5.0,3.0,3.29,,
How frequently are cybersecurity & risk management controls audited or reviewed?,Cybersecurity,7.0,5.0,8.0,6.0,5.14,,
How do global standards or laws impact cybersecurity & risk management policies?,Cybersecurity,4.0,3.0,5.0,6.0,3.93,,
Who is responsible for overseeing cybersecurity & risk management in the project?,Cybersecurity,3.0,2.0,1.0,4.0,2.21,,
How are risks within cybersecurity & risk management identified and mitigated?,Cybersecurity,4.0,2.0,3.0,5.0,3.29,,
Are third-party evaluations available for cybersecurity & risk management?,Cybersecurity,6.0,4.0,3.0,5.0,3.57,,
What are the best practices followed in the domain of cybersecurity & risk management?,Cybersecurity,8.5,9.2,7.1,8.8,5.78,,
Has the project published disclosures related to cybersecurity & risk management?,Cybersecurity,6.0,8.0,5.0,7.0,4.14,,
How is performance in cybersecurity & risk management tracked and reported?,Cybersecurity,8.0,7.0,9.0,6.0,5.36,,
What technologies or protocols are used to handle cybersecurity & risk management?,Cybersecurity,6.0,4.0,3.0,5.0,3.57,,
What transparency measures are in place for cybersecurity & risk management?,Cybersecurity,7.0,9.0,8.0,6.0,4.57,,
What red flags should be monitored in terms of cybersecurity & risk management?,Cybersecurity,7.0,5.0,6.0,8.0,5.43,,
How does the team respond to issues arising in cybersecurity & risk management?,Cybersecurity,8.0,6.0,7.0,9.0,6.14,,
Are third-party evaluations available for governance & disclosures?,Cybersecurity,2.0,1.0,3.0,4.0,2.5,,
What benchmarks are used to evaluate reputational and strategic success?,Reputational and Strategic,2.5,1.8,3.2,4.1,2.61,,
What technologies or protocols are used to handle reputational and strategic?,Reputational and Strategic,5.0,3.0,4.0,6.0,4.0,,
How are risks within reputational and strategic identified and mitigated?,Reputational and Strategic,7.0,8.0,6.0,9.0,5.36,,
How is performance in reputational and strategic tracked and reported?,Reputational and Strategic,6.0,4.0,3.0,7.0,4.29,,
Who is responsible for overseeing reputational and strategic in the project?,Reputational and Strategic,4.0,3.0,2.0,5.0,2.93,,
Are stakeholders involved in decisions about reputational and strategic?,Reputational and Strategic,6.0,8.0,4.0,5.0,3.21,,
Are third-party evaluations available for reputational and strategic?,Reputational and Strategic,6.0,5.0,3.0,7.0,4.14,,
How does the team respond to issues arising in reputational and strategic?,Reputational and Strategic,3.0,2.0,4.0,5.0,3.21,,
Is there regulatory guidance applicable to reputational and strategic?,Reputational and Strategic,6.0,4.0,5.0,7.0,4.71,,
What red flags should be monitored in terms of reputational and strategic?,Reputational and Strategic,6.0,4.0,5.0,7.0,4.71,,
What transparency measures are in place for reputational and strategic?,Reputational and Strategic,6.0,4.0,5.0,7.0,4.71,,
How frequently are reputational and strategic controls audited or reviewed?,Reputational and Strategic,4.0,2.0,3.0,5.0,3.29,,
To what extent does reputational and strategic influence investor confidence?,Reputational and Strategic,7.0,3.0,5.0,8.0,5.5,,
How do global standards or laws impact reputational and strategic policies?,Reputational and Strategic,3.0,2.0,4.0,5.0,3.21,,
What are the best practices followed in the domain of reputational and strategic?,Reputational and Strategic,6.0,4.0,3.0,5.0,3.57,,
Are third-party evaluations available for smart contract & protocol risks?,Technical,8.0,7.0,9.0,6.0,5.36,,
Are stakeholders involved in decisions about smart contract & protocol risks?,Technical,6.0,7.0,8.0,5.0,4.21,,
How does the team respond to issues arising in smart contract & protocol risks?,Technical,8.0,6.0,7.0,9.0,6.14,,
How are risks within smart contract & protocol risks identified and mitigated?,Technical,7.0,8.0,6.0,9.0,5.36,,
Has the project published disclosures related to smart contract & protocol risks?,Technical,8.0,9.0,7.0,6.0,4.64,,
Is there regulatory guidance applicable to smart contract & protocol risks?,Technical,8.0,6.0,7.0,9.0,6.14,,
What technologies or protocols are used to handle smart contract & protocol risks?,Technical,7.0,6.0,5.0,8.0,5.07,,
Who is responsible for overseeing smart contract & protocol risks in the project?,Technical,8.0,5.0,7.0,9.0,6.29,,
How is performance in smart contract & protocol risks tracked and reported?,Technical,8.0,9.0,7.0,6.0,4.64,,
How do global standards or laws impact smart contract & protocol risks policies?,Technical,7.0,5.0,8.0,6.0,5.14,,
What transparency measures are in place for smart contract & protocol risks?,Technical,8.0,7.0,9.0,6.0,5.36,,
To what extent does smart contract & protocol risks influence investor confidence?,Technical,6.0,4.0,5.0,7.0,4.71,,
How frequently are smart contract & protocol risks controls audited or reviewed?,Technical,4.0,3.0,2.0,1.0,1.5,,
What are the best practices followed in the domain of smart contract & protocol risks?,Technical,7.0,8.0,6.0,9.0,5.36,,
What red flags should be monitored in terms of smart contract & protocol risks?,Technical,7.0,4.0,6.0,5.0,4.5,,
What benchmarks are used to evaluate smart contract & protocol risks success?,Technical,7.5,8.2,6.9,8.1,5.34,,
Are third-party evaluations available for technical integrity?,Auditability,3.0,2.0,1.0,4.0,2.21,,
Are third-party evaluations available for valuation & verification?,Financial,3.0,2.0,1.0,4.0,2.21,,
To what extent does valuation & verification influence investor confidence?,Financial,7.0,5.0,4.0,8.0,5.0,,
How do global standards or laws impact valuation & verification policies?,Financial,4.0,3.0,2.0,5.0,2.93,,
What are the best practices followed in the domain of valuation & verification?,Financial,7.5,8.2,6.9,9.1,5.7,,
How does the team respond to issues arising in valuation & verification?,Financial,2.0,1.0,3.0,4.0,2.5,,
Is there regulatory guidance applicable to valuation & verification?,Financial,7.0,5.0,6.0,4.0,4.0,,
What transparency measures are in place for valuation & verification?,Financial,6.0,8.0,4.0,7.0,3.93,,
What technologies or protocols are used to handle valuation & verification?,Financial,7.0,4.0,5.0,6.0,4.64,,
Who is responsible for overseeing valuation & verification in the project?,Financial,7.0,4.0,5.0,8.0,5.36,,
How frequently are valuation & verification controls audited or reviewed?,Financial,8.0,7.0,9.0,6.0,5.36,,
Are stakeholders involved in decisions about valuation & verification?,Financial,6.0,4.0,5.0,7.0,4.71,,
What red flags should be monitored in terms of valuation & verification?,Financial,7.0,4.0,5.0,6.0,4.64,,
Has the project published disclosures related to valuation & verification?,Financial,8.0,9.0,7.0,6.0,4.64,,
How are risks within valuation & verification identified and mitigated?,Financial,7.0,5.0,6.0,8.0,5.43,,
How is performance in valuation & verification tracked and reported?,Financial,6.5,8.2,4.8,7.1,4.25,,
What benchmarks are used to evaluate valuation & verification success?,Financial,7.0,8.0,6.0,9.0,5.36,,
"Are there any known affiliations with past failed, fraudulent, or controversial projects?",Reputational and Strategic,7.0,4.0,6.0,5.0,4.5,,
"Is the team fully doxxed, and are background checks available or verified?",Reputational and Strategic,6.0,8.0,7.0,5.0,3.86,,
"What environmental impact does the projects blockchain have (e.g., energy consumption, carbon footprint)?",Reputational and Strategic,3.5,2.8,4.1,2.9,2.51,,
Does the project follow ESG best practices and report on sustainability efforts?,Reputational and Strategic,7.0,5.0,8.0,6.0,5.14,,
Are there initiatives supporting social inclusion or ethical governance?,Reputational and Strategic,2.0,1.0,3.0,4.0,2.5,,
Do the founders or team members maintain transparency in online and real-world identity?,Reputational and Strategic,2.0,3.0,1.5,4.0,1.89,,
Have any team members been subject to legal action or regulatory scrutiny?,Reputational and Strategic,4.0,3.0,5.0,2.0,2.5,,
"Are the advisors truly involved, or are they added for marketing clout only?",Reputational and Strategic,7.0,6.0,8.0,5.0,4.64,,
Is there a conflict of interest between the project and its investors or backers?,Reputational and Strategic,6.0,4.0,5.0,7.0,4.71,,
Has the project conducted any formal ESG assessments or audits?,Reputational and Strategic,6.0,5.0,4.0,3.0,2.93,,
Does the governance framework encourage inclusivity and community voice?,Reputational and Strategic,4.0,5.0,3.0,6.0,3.21,,
Are there commitments or donations to environmental or social initiatives?,Reputational and Strategic,2.0,1.0,3.0,2.0,1.79,,
Are there any whistleblower protections or ethics guidelines for internal actors?,Reputational and Strategic,2.0,1.0,3.0,2.0,1.79,,
Has a legal opinion been issued regarding whether the token is a security?,Legal and Compliance,8.0,5.0,7.0,9.0,6.29,,
Has the project been reviewed using frameworks like the Howey Test or MiCA?,Legal and Compliance,2.0,1.0,3.0,0.0,1.07,,
Are there any risks of future classification changes by regulators?,Legal and Compliance,3.0,2.0,4.0,5.0,3.21,,
Does the project comply with AML/KYC standards in all active jurisdictions?,Legal and Compliance,8.0,9.0,7.0,6.0,4.64,,
Are there systems in place for regulatory reporting and audits?,Legal and Compliance,3.0,2.0,1.0,4.0,2.21,,
How does the entity stay updated with evolving crypto legislation?,Legal and Compliance,7.0,5.0,8.0,6.0,5.14,,
Are any team members or wallets linked to previous illicit activity?,Legal and Compliance,7.0,5.0,8.0,6.0,5.14,,
What on-chain analytics tools are used to detect and prevent criminal behavior?,Legal and Compliance,7.0,8.0,6.0,9.0,5.36,,
Has the project ever been flagged or investigated by a regulatory body?,Legal and Compliance,4.0,2.0,3.0,1.0,1.86,,
Has the token been flagged or banned in any jurisdictions?,Legal and Compliance,6.0,3.0,4.0,2.0,2.86,,
"Is the token accessible in countries with restrictive securities laws (e.g., USA, China)?",Legal and Compliance,6.0,8.0,5.0,4.0,3.07,,
Are there disclosures in place for users regarding investment risks?,Legal and Compliance,7.0,5.0,4.0,3.0,3.21,,
Has the project received any informal guidance from regulators?,Legal and Compliance,2.0,3.0,1.0,4.0,1.79,,
Are there regular compliance audits or reports published?,Legal and Compliance,2.0,3.0,1.0,4.0,1.79,,
"Is a Chief Compliance Officer (CCO) appointed, or is compliance outsourced?",Legal and Compliance,4.0,3.0,2.0,1.0,1.5,,
Does the protocol geo-block certain regions to comply with local laws?,Legal and Compliance,3.0,1.0,2.0,4.0,2.57,,
How are sanctions-screened addresses or high-risk users handled?,Legal and Compliance,2.0,1.0,3.0,4.0,2.5,,
"What partnerships exist with compliance providers (e.g., Chainalysis, TRM Labs)?",Legal and Compliance,6.0,8.0,4.0,7.0,3.93,,
Has the projects token ever been used in darknet or sanctioned activities?,Legal and Compliance,8.0,5.0,6.0,4.0,4.29,,
"Are there KYC thresholds for transaction amounts, or is KYC mandatory?",Legal and Compliance,7.0,5.0,6.0,8.0,5.43,,
Has the project engaged law enforcement in past incidents?,Legal and Compliance,,,,,,Expecting property name enclosed in double quotes: line 3 column 20 (char 39),"Here is the analysis in the Legal and Compliance domain:

{
  ""aggregates"": {
    ""severity"": 3, // Medium severity risk
    ""data_accessibility"": 2, // Somewhat accessible information available
    ""category_risk"": 4, // High category risk (Legal and Compliance)
    ""strategic_impact"": 1 // Low strategic impact (no significant legal consequences)
  }
}"
What cybersecurity frameworks and best practices are implemented?,Cybersecurity,8.0,7.0,9.0,6.0,5.36,,
Has the system undergone penetration testing or received a security certification?,Cybersecurity,8.0,6.0,7.0,5.0,4.71,,
"How are critical assets and user funds protected against hacks, including key management?",Cybersecurity,7.0,8.0,9.0,6.0,4.93,,
Are private keys stored via HSMs (hardware security modules) or other enterprise-grade tools?,Cybersecurity,8.0,9.0,5.0,7.0,4.57,,
What protocols are in place for admin key compromise or unauthorized access?,Cybersecurity,6.0,4.0,5.0,3.0,3.29,,
Is multi-factor authentication enforced for sensitive system access?,Cybersecurity,4.0,3.0,2.0,5.0,2.93,,
How quickly does the team patch zero-day vulnerabilities or exploits?,Cybersecurity,8.0,6.0,9.0,5.0,5.14,,
Have financial and technical audits been conducted by reputable third parties?,Auditability,8.0,9.0,7.0,6.0,4.64,,
Are audit results publicly disclosed and updated regularly?,Auditability,2.0,1.0,3.0,2.0,1.79,,
"Is ownership of code, IP, and token distribution clearly verifiable and traceable?",Auditability,2.0,1.0,3.0,4.0,2.5,,
"What audit firms have been engaged, and what were their findings?",Auditability,2.0,1.0,3.0,4.0,2.5,,
Is there a historical record of audits over multiple versions/releases?,Auditability,2.0,1.0,3.0,4.0,2.5,,
Is IP ownership centralized or distributed among DAO or contributors?,Auditability,3.0,2.0,1.0,4.0,2.21,,
"Who is responsible for securing private keys, and what is their background and experience?",Cybersecurity,4.0,3.0,5.0,2.0,2.5,,
"Are private keys secured using HSMs, MPC, or air-gapped cold storage?",Cybersecurity,8.0,9.0,7.0,6.0,4.64,,
"Has the custodian provided a Type II SOC report on controls, and are exceptions disclosed?",Cybersecurity,3.0,2.0,4.0,1.0,1.79,,
"What is the process for private key access, and does it require dual control or multi-factor authentication?",Cybersecurity,6.0,4.0,5.0,3.0,3.29,,
Does the custodian support proof-of-existence or auditability for wallets on demand?,Cybersecurity,6.0,4.0,5.0,3.0,3.29,,
"For self-custody: are internal policies and segregated infrastructure in place, and are controls independently verified?",Cybersecurity,6.0,5.0,7.0,4.0,3.93,,
"Does the protocol utilize proxy patterns, and are upgrade mechanisms secured and transparent?",Technical,6.0,5.0,4.0,3.0,2.93,,
Have there been flash loan or oracle exploits on this protocol or similar ones in the ecosystem?,Technical,7.0,5.0,6.0,4.0,4.0,,
Are contracts covered by formal verification or continuous security fuzzing?,Technical,8.0,7.0,9.0,6.0,5.36,,
"Are on-chain AML analytics tools (e.g., TRM Labs, Chainalysis) used for monitoring wallet behavior?",Legal and Compliance,6.0,8.0,5.0,7.0,4.14,,
Is there a process to screen for sanctioned wallets or high-risk counterparties?,Legal and Compliance,8.0,6.0,7.0,5.0,4.71,,
"Does the platform support privacy-preserving KYC (e.g., zero-knowledge proofs)?",Legal and Compliance,3.0,2.0,1.0,4.0,2.21,,
Are AML/KYC policies aligned with FATF Travel Rule requirements?,Legal and Compliance,3.0,2.0,1.0,4.0,2.21,,
How often is staff trained on evolving AML compliance risks?,Legal and Compliance,7.0,8.0,6.0,9.0,5.36,,
Are assets priced using time-weighted average from multiple exchanges?,Financial,4.0,3.0,2.0,1.0,1.5,,
"How are illiquid assets valued, and who signs off on methodology?",Financial,6.0,4.0,5.0,3.0,3.29,,
Are wallet addresses independently verified by fund administrators?,Financial,3.0,2.0,1.0,4.0,2.21,,
"How frequently is the fund’s NAV calculated, and are there deviation logs for exceptions?",Financial,2.0,1.0,3.0,1.0,1.43,,
Is there a roadmap for future compliance in new jurisdictions?,Legal and Compliance,7.0,5.0,6.0,8.0,5.43,,
Have the terms of use or whitepaper been legally vetted for investor disclosures?,Legal and Compliance,4.0,2.0,3.0,1.0,1.86,,
Is there a clear distinction between utility and investment functions of the token?,Legal and Compliance,3.0,2.0,4.0,1.0,1.79,,
Has the project implemented data privacy policies in line with GDPR or other laws?,Legal and Compliance,3.0,2.0,1.0,4.0,2.21,,
What is the incident response time target for security breaches?,Cybersecurity,7.0,4.0,6.0,8.0,5.57,,
Are there anomaly detection systems in place for network activity?,Cybersecurity,4.0,3.0,2.0,1.0,1.5,,
Has the protocol been subjected to red teaming or adversarial testing?,Cybersecurity,7.0,6.0,8.0,5.0,4.64,,
What role do validators or miners play in protocol-level security checks?,Cybersecurity,2.0,1.0,3.0,4.0,2.5,,
"Who is the digital asset custodian, and is it a third party or self-custody setup?",Cybersecurity,2.0,1.0,3.0,4.0,2.5,,
"How are private keys stored—air-gapped, HSM, or MPC-based infrastructure?",Cybersecurity,8.0,6.0,9.0,7.0,5.86,,
Does the custodian offer verifiable proof-of-reserves?,Cybersecurity,7.0,5.0,8.0,9.0,6.21,,
"In cases of self-custody, what controls ensure exclusive access to private keys?",Cybersecurity,3.0,2.0,1.0,4.0,2.21,,
Are wallet addresses segregated and attributable per investor?,Cybersecurity,4.0,2.0,3.0,1.0,1.86,,
"Is the project aligned with MiCA, FATF, and national frameworks (e.g., SEC, CFTC, MAS)?",Legal and Compliance,8.0,9.0,6.0,5.0,4.07,,
Are Travel Rule compliance mechanisms in place for transfers above set thresholds?,Legal and Compliance,5.0,8.0,6.0,4.0,3.0,,
"What sandbox programs (e.g., HKMA, EU DLT Pilot Regime) has the project participated in?",Legal and Compliance,2.0,1.0,3.0,4.0,2.5,,
How does the entity classify tokens under securities law across jurisdictions?,Legal and Compliance,4.0,2.0,3.0,5.0,3.29,,
Has the issuer published mandatory whitepapers as per MiCA or local equivalents?,Legal and Compliance,4.0,2.0,3.0,1.0,1.86,,
"Are the founders and executives publicly identifiable, and do they have any history of controversies or regulatory violations?",Reputational and Strategic,3.0,2.0,4.0,1.0,1.79,,
"Is there a succession plan for key individuals, and how does the project mitigate key-person risk?",Reputational and Strategic,2.0,1.0,3.0,4.0,2.5,,
"Have there been any significant changes in the leadership team recently, and how were these communicated to stakeholders?",Reputational and Strategic,2.0,1.0,3.0,4.0,2.5,,
"How is the entity structured legally (e.g., foundation, corporation, DAO), and is this structure transparent and adequately documented?",Reputational and Strategic,5.0,3.0,4.0,2.0,2.57,,
"Are there any outstanding legal disputes, regulatory investigations, or credible allegations against the team or the entity?",Reputational and Strategic,7.0,9.0,5.0,6.0,3.93,,
How does the project handle accountability and public communication if a senior member is implicated in misconduct?,Reputational and Strategic,4.0,2.0,3.0,5.0,3.29,,
"Is there a publicly available ESG report or sustainability roadmap, and what metrics are used to track performance?",Reputational and Strategic,2.0,1.0,3.0,4.0,2.5,,
"How does the consensus mechanism (e.g., Proof-of-Work, Proof-of-Stake) impact the project's overall environmental footprint?",Reputational and Strategic,6.0,8.0,5.0,4.0,3.07,,
"What community or social initiatives does the project support or participate in, and how are they funded?",Reputational and Strategic,3.0,2.0,1.0,4.0,2.21,,
"Have any known ESG concerns been identified, and how is the team working to address or mitigate them?",Reputational and Strategic,6.0,4.0,5.0,7.0,4.71,,
Does the project have policies ensuring fair labour practices and diversity among its team and validators/miners (if applicable)?,Reputational and Strategic,4.0,1.0,3.0,5.0,3.43,,
Are there governance mechanisms to allow stakeholder input into environmental or social impact decisions?,Reputational and Strategic,2.0,3.0,1.0,4.0,1.79,,
How does the project integrate ESG considerations into its long-term strategic planning and reporting?,Reputational and Strategic,3.0,2.0,1.0,4.0,2.21,,
Has the token or digital asset been evaluated under the Howey Test (or comparable local standard) to determine if it is a security?,Legal and Compliance,7.0,9.0,6.0,5.0,3.79,,
Are there legal opinions or memoranda publicly available that clarify the asset's classification under securities laws?,Legal and Compliance,6.0,7.0,8.0,5.0,4.21,,
Has the project conducted any token sales or offerings that could be subject to retrospective regulatory scrutiny?,Legal and Compliance,7.0,6.0,5.0,4.0,3.64,,
"Does the project comply with disclosures, filings, or registrations required in any jurisdictions where it operates?",Legal and Compliance,3.0,2.0,4.0,1.0,1.79,,
"If the token is used for fundraising, were proper exemptions (Reg D, Reg S, etc.) or equivalent utilized, and is ongoing compliance maintained?",Legal and Compliance,5.0,2.0,4.0,3.0,3.07,,
"Which jurisdictions currently restrict or forbid the trading of this token, and how does the project handle users from those regions?",Legal and Compliance,7.0,5.0,6.0,8.0,5.43,,
"Are there or have there been any class-action lawsuits, SEC investigations, or regulatory enforcement actions involving the token?",Legal and Compliance,7.0,5.0,6.0,8.0,5.43,,
How does the project anticipate and adapt to evolving securities laws across different countries?,Legal and Compliance,6.0,4.0,5.0,7.0,4.71,,
"Which specific AML/KYC frameworks does the project adhere to, and are they aligned with FATF recommendations or local regulations?",Legal and Compliance,8.0,9.0,7.0,5.0,4.29,,
"Does the project have dedicated compliance officers, and are they experienced in digital asset regulations?",Legal and Compliance,8.0,6.0,5.0,4.0,3.93,,
